id,judul,ringkasan,popularitas,dewasa,original_language,id_negara,negara,id_perusahaan,perusahaan,negara_asal_perusahaan,durasi,pendapatan,tanggal_rilis,jumlah_vote,vote_rata_rata,sertifikasi,id_imdb,tahun_rilis
397874,Non-KB,,0.84,False,id,ID,Indonesia,,,,2,0,1979-06-02,0,0.0,,,1979
395871,Pengantin Pantai Biru,,0.84,False,id,ID,Indonesia,65106.0,PT Kanta Indah Film,ID,77,0,2010-09-23,1,3.0,,,2010
395855,Suster Keramas,,0.84,False,id,ID,Indonesia,10657.0,Maxima Pictures,ID,83,0,2009-12-31,4,3.5,,tt1979353,2009
370602,Skakmat,,0.84,False,id,ID,Indonesia,69003.0,MNC Pictures,ID,106,0,2015-11-26,0,0.0,,,2015
356692,Aladin dan Lampu Wasiat,,0.84,False,id,ID,Indonesia,7872.0,Rapi Films,ID,98,0,1982-08-29,2,7.0,,tt0334892,1982
356538,7/24,,0.84,False,id,ID,Indonesia,69003.0,MNC Pictures,ID,103,0,2014-11-27,1,6.0,,tt4277296,2014
288562,Si Doel Anak Betawi,,0.84,False,id,ID,Indonesia,,,,85,0,1972-01-02,0,0.0,,tt0337194,1972
288042,Tusuk Jelangkung,,0.84,False,id,ID,Indonesia,74336.0,PT Rexinema Multimedia Pratama,,133,0,2003-03-29,4,6.0,NC-17,tt0360118,2003
286239,Arisan! 2,,0.84,False,id,ID,Indonesia,29648.0,Kalyana Shira Film,,119,0,2011-12-01,7,6.6,,tt2147199,2011
271621,Hello Goodbye,,0.84,False,id,ID,Indonesia,72761.0,Falcon Pictures,ID,99,0,2012-10-09,0,0.0,,tt2998380,2012
260232,Hari Ini Pasti Menang,,0.84,False,id,ID,Indonesia,101620.0,Bogalakon Pictures,,122,0,2013-04-11,0,0.0,,tt2404241,2013
162214,Perahu Kertas 2,"Keenan sudah memutuskan kembali tinggal di Jakarta dan melanjutkan bisnis keluarga akibat serangan stroke yang diderita ayahnya, Adri (August Melasz). Keenan menjalani hubungan kasih jarak jauh dengan Luhde (Elyzia Mulachela) yang tinggal di Bali. Sedangkan Kugy telah menjadi semakin dekat dengan Remi (Reza Rahadian), yang juga menjadi atasannya di biro iklan AdVocaDo. Keenan mengembalikan buku Jenderal Pilik kepada Kugy.",0.84,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,100,0,2012-10-04,3,7.7,,tt2668926,2012
146526,Biola Tak Berdawai,,0.84,False,id,ID,Indonesia,,,,99,0,2003-03-22,3,5.3,,tt0353240,2003
138254,Kebun Binatang,,0.84,False,id,ID,Indonesia,789.0,Pallas Film,DE,96,0,2012-07-20,11,6.0,,tt2073058,2012
106520,Buaya putih,,0.84,False,id,ID,Indonesia,,,,94,0,1982-02-01,0,0.0,,tt0343495,1982
106511,Nyi Blorong,,0.84,False,id,ID,Indonesia,7872.0,Rapi Films,ID,82,0,1982-10-21,0,0.0,,tt0285808,1982
106508,Dukun Lintah,,0.84,False,id,ID,Indonesia,,,,92,0,1981-01-01,0,0.0,,,1981
458147,Romeo+Rinjani,,0.832,False,id,ID,Indonesia,14140.0,Starvision Plus,ID,77,0,2015-04-23,1,4.0,,,2015
533366,Cinta dan Noda,,0.829,False,id,,,,,,79,0,1991-01-01,0,0.0,,tt1067148,1991
464861,Street Society,,0.829,False,id,ID,Indonesia,92098.0,Technicolor Thailand,,97,0,2014-02-20,0,0.0,,tt3556500,2014
537121,"Sule, Ay Need You",,0.827,False,id,ID,Indonesia,106899.0,E-Motion Entertainment,,93,0,2012-05-31,1,7.5,,tt2171114,2012
442507,Madre,"Hidup Tansen, 27 tahun, berubah dalam sehari hanya dengan sebuah kunci lemari es yang di dalamnya terdapat adonan biang roti berumur 70 tahun bernama Madre. Kakeknya, Tan Sin Gie, memberikan warisan Madre kepada Tansen. Selama ini Tansen tak pernah tahu kalau seperempat darah miliknya berasal dari kakeknya yang beretnis Tionghoa dan seperempat darah India dari neneknya.",0.824,False,id,ID,Indonesia,61689.0,Mizan Productions,,107,0,2013-03-28,1,8.0,NC-17,tt2902612,2013
217544,Moga Bunda Disayang Allah,,0.824,False,id,ID,Indonesia,16514.0,Soraya Intercine Films,ID,120,0,2013-08-01,1,8.0,Remaja,,2013
410658,Athirah,,0.814,False,id,ID,Indonesia,63784.0,Miles Films,ID,100,0,2016-09-29,4,7.8,,tt5935682,2016
460574,Insya Allah Sah,Perjuangan seorang gadis menemukan tujuan hidupnya setelah mengalami peristiwa mengejutkan yang menyebabkan ia berjanji untuk mengubah dirinya sendiri.,0.811,False,id,ID,Indonesia,5344.0,MD Pictures,ID,90,0,2017-06-25,4,5.75,,tt7088210,2017
521369,Remember When,,0.807,False,id,ID,Indonesia,7872.0,Rapi Films,ID,92,0,2014-04-30,0,0.0,,tt5785990,2014
640753,The God Babe,,0.6,False,id,,,,,,89,0,2010-03-25,0,0.0,,,2010
629747,Mafia insyaf,,0.6,False,id,ID,Indonesia,65106.0,PT Kanta Indah Film,ID,86,0,2010-10-28,0,0.0,,tt1774477,2010
483120,Rumah Hantu Pasar Malam,,0.806,False,id,ID,Indonesia,16614.0,MVP Pictures,ID,74,0,2012-02-16,0,0.0,,tt2205554,2012
362647,Akibat Pergaulan Bebas 2,,0.806,False,id,ID,Indonesia,64837.0,Mitra Pictures,,81,0,2011-05-12,0,0.0,Dewasa,tt2022321,2011
578854,Satu Suro,,0.805,False,id,ID,Indonesia,5344.0,MD Pictures,ID,94,0,2019-02-07,2,6.2,21+,tt9547812,2019
429832,Alexandria,"Bagas Gunawan (Marcel Chandrawinata), lelaki pendiam dan sangat pemalu memendam rasa kepada Alexandra Yasmina (Julie Estelle), tetangganya yang baru. Alex adalah gadis unik dengan kamera dan koleksi komiknya dan mimpi utamanya: pergi ke kota Alexandria di Mesir, yang kata ayahnya merupakan asal muasal nama dirinya: Alexandra.",0.805,False,id,ID,Indonesia,4091.0,Rexinema,,110,0,2005-11-01,0,0.0,,tt1062892,2005
