id,nama,negara_asal
174893,Putra Kusuma Picture,
174894,Radikal Pictures,
175387,Gertak Film,
175418,Lyto Pictures,
175441,FROXI Production House,ID
175726,PT Matari Artis Jaya Film,
175935,Yanuk Film,
176285,VG+ Entertainment Group,
176450,Serantung Productions,
176518,PT Arta Cata Film,
176635,PT Bayuadhi Cine Film,
176636,PT Isae Film,
176640,PT Daya Istri Film,ID
176757,Jagartha,
176785,PT Bhaskara Indah Cine Film,
177068,E3 Encounter Production,
177131,MultimediaBali Films (ID),
177192,Serangkai Films,
177521,Catastrophe Productions,
177640,PT Kalimantan Film,
177789,Trinity Optima Production,
177824,Konsorsium PPFI,
177831,Sempana Cinema,
177832,Alamanda Production,
177833,KG Productions,
177834,Budiway SDN BHD Film,
177885,Kedjora Film,
177886,Direktorat Pajak,
177888,Nefos Film,
177889,Nusantara Film,
177941,Sanggar Karya Film,
177942,Bank Bumi Daya,
177943,PT Chitra Dewi Film Production,ID
177944,NV Panah Mas Film,
177947,PT Kartika Bina Prima Film,
177958,PT Indah Geeta Film,
177959,PT Indako Film,
178002,PT Taty & Sons Jaya Film,
178003,Jakarta Theatre Group,
178004,PT Dino De Yukawi Film,
178274,PT Safina,
178321,Bank Koperasi Tani dan Nelayan,
178322,Odo Film,
178373,Dewan Produksi Film Nasional,
178387,Yayasan Hivos,
178478,Rayvolution Films,
178503,Layaria Originals,
178512,STUDIO WOH,
178513,GARAP-DADOS,
178611,Rubamera Creative Lab,
178983,Wlingiwood Selection,
179656,Huma Ark,
179933,Matekkar Image,
179936,Bonadea Sinema,
179937,Mindworks Picture,
180020,Global Pictures,ID
180022,Garuda Nusantara Sinema,
180023,MP Entertainment,
180054,OMG Cinema,
180065,Sinema 5,
180069,FILMBOX,
180072,Kamar Senyap,
180109,Point de View,
180114,Midnight Melancholy,
180153,Len’s Pro,
180154,B Edutainment,
180155,Eclipse Films,
180157,Agnasa Film Production,
180206,Media Utama Pictures,
180207,Pop Up 3D Production,
180219,F1 Pictures,
180221,Kakilangit Pictures,
180223,Qasthalani Citra Film,
180224,Angel Pictures,
180392,Bintang Kawakibi Pictures,
180395,PT Digital Film Media,
180396,Eagleclaw Entertainment Hollywood,
180397,Glass Eye Project,
180459,Sa Villa Production,
180461,3Star Films,
180462,88 Films,
180465,Buana Lestari Entertanment,
180466,Silky Girls,
180727,Dwisetyo Production,
180729,Universitas Halu Oleo,
180730,Asosiasi Tradisi Lisan,
180742,Rusli Universe,
180743,Bejo Production,
180744,Andalan Media Rumah Hantu Indonesia,
180816,Lorong Films,ID
180820,Pamondo Films,
180822,Bintang Sinema Pictures,
180824,Nadienne Batam Production,
180825,Studiopro 1226,
181118,SCTV,
181351,Mattuju Pictures,
181395,KB Production,
181402,Film Maker Muslim - Daqu Movie,
181403,Muara Studio,
181404,Go Muslim,
181406,Vietnam Production,
181407,Dwi Abisatya Persada,
181408,Lighthouse Capital Management,
181411,Passe Production,
181642,Visinema Music,ID
181766,Alegori Production,
181823,Skak Studios,
181971,DMMX Media,
181972,Adhya Group,
182471,Ruang Production,
182627,Four Cinema Films,
182658,Bla collective,
182720,Dunia Mencekam Productions,
182873,Kologi Production,
183040,pandanpilem,
183064,Aksa Bumi Langit,
183603,Coklat Studio,
183846,Manungsruah Productions,
184060,carnivalfilms,
184424,Klapping Koala,
184427,Studio Teluk Tolo,
184429,Future Play,
185200,Citrus Sinema,
185287,Size Entertainment,
185289,Indibox,
185290,Bahagia Pasti,
185292,Hazed Production,
185335,Allura House,
185425,Głośno,
185439,Brociz Entertainment,
185707,Hue Colours Creative Lab,
185862,Studio Grafis,
185863,Sugank Production,
185864,Prima Binamedia Film,
185865,Paramedia Indonesia,
185923,Monday Club Studio,
185936,Gema Production,
186001,Guerilla Visuals,
186032,Merauke Enterprice Production,
186090,FDR Studio,
186258,Visinema Content,
186588,Vision+,
186589,Vision+,
186651,Vision+,
186652,Vision+,
186653,Vision+,
186664,Vision+,
186665,Vision+,
186667,Vision+,
186671,Vision+,
186673,Vision+,
186807,Gerombolan Struzzo,
186879,Brainstorminc Entertainment,
186896,Langit Pictures Indonesia,
186944,Screening Entertainment,
186945,Dipinang Production,
186947,Area Cinema,
186949,Maya Film (ID),
186959,D'Ranau Film,
186960,Aura Entertainment (ID),
186962,Safah Create Sinema,
186966,Jaman Studio,
186967,Studio PFN,
186983,EVOS Esports,
186985,Creative Goods,
187012,Etanan Films,
187043,Arjuna Mega Films,
187140,PARADOKS DOKUMENTER,
187142,AVAfilms,
187143,Arek Wetan,
187146,Past Production,
187147,SiaPSS Production,
187148,SMEAMU,ID
187149,Kelas Film Indonesia,
187152,Wongenem,
187515,Djakarta Film,
187522,IDN Pictures,
187536,Cineclipse Pictures,
187541,Produksi Dari Hati,
187674,426 Hz,ID
187688,Cinelogic Pictures,
187691,Komunitas Pena dan Lensa (KOPEL),
187922,Prabu Pictures,
188239,Falcon Black Pictures,
188242,Miura Films,
188528,RUMPI Entertainment,
188559,Asaloka Films,
188706,Silent D Pictures,
188933,Yoikatra,
